epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,9110.74,0.66066,0.4928,1.10226,0.83923,0.7548,0.8134,0.54095,1.26817,0.92937,1.75336,0.000382115,0.000382115,0.000382115
76,9194.55,0.6544,0.50349,1.10495,0.80528,0.78569,0.80639,0.54415,1.26005,0.9668,1.73922,0.000367967,0.000367967,0.000367967
77,9278.37,0.64069,0.47801,1.09325,0.86586,0.73438,0.80055,0.53673,1.25173,0.9879,1.71647,0.00035382,0.00035382,0.00035382
78,9362.31,0.64531,0.48844,1.09625,0.81437,0.73652,0.79098,0.52733,1.28286,1.04374,1.75858,0.000339673,0.000339673,0.000339673
79,9446.08,0.63441,0.46472,1.08706,0.87374,0.75224,0.81767,0.54844,1.23613,0.92731,1.71147,0.000325526,0.000325526,0.000325526
80,9529.8,0.628,0.46596,1.0856,0.83586,0.76215,0.80441,0.54654,1.24676,0.98784,1.76921,0.000311379,0.000311379,0.000311379
81,9613.64,0.61288,0.46661,1.07792,0.81796,0.76118,0.81197,0.55069,1.22857,0.98391,1.70411,0.000297232,0.000297232,0.000297232
82,9697.44,0.61794,0.45481,1.08357,0.84592,0.74816,0.82158,0.55001,1.24615,0.96014,1.72787,0.000283085,0.000283085,0.000283085
83,9781.21,0.60137,0.44706,1.06351,0.85455,0.76627,0.82542,0.55148,1.23561,0.91916,1.72247,0.000268938,0.000268938,0.000268938
84,9865,0.60792,0.44143,1.07056,0.86038,0.77244,0.8222,0.55393,1.24859,0.90478,1.74543,0.000254791,0.000254791,0.000254791
85,9948.83,0.61056,0.45055,1.07767,0.87144,0.76923,0.82911,0.55485,1.24268,0.88838,1.73866,0.000240644,0.000240644,0.000240644
86,10032.8,0.58457,0.43683,1.06544,0.84132,0.79484,0.83145,0.56229,1.21346,0.88513,1.68166,0.000226497,0.000226497,0.000226497
87,10116.5,0.57231,0.41775,1.05592,0.86249,0.76875,0.82164,0.55356,1.2319,1.0032,1.69579,0.000212349,0.000212349,0.000212349
88,10200.3,0.58159,0.4174,1.05865,0.83092,0.79895,0.83019,0.55888,1.22944,0.93399,1.70143,0.000198202,0.000198202,0.000198202
89,10284.1,0.58059,0.4171,1.05942,0.85189,0.78659,0.81577,0.55599,1.22733,0.93137,1.71081,0.000184055,0.000184055,0.000184055
90,10367.9,0.56747,0.4097,1.04667,0.85033,0.77103,0.81905,0.55836,1.20609,0.9333,1.69804,0.000169908,0.000169908,0.000169908
91,10477.3,0.45787,0.26927,0.95987,0.86827,0.7799,0.82345,0.56305,1.19767,0.89504,1.70015,0.000155761,0.000155761,0.000155761
92,10561.2,0.43894,0.25186,0.94706,0.87248,0.75168,0.82382,0.56249,1.20128,0.92277,1.70504,0.000141614,0.000141614,0.000141614
93,10645,0.42859,0.24671,0.94593,0.82823,0.81643,0.83517,0.56403,1.20627,0.9062,1.70931,0.000127467,0.000127467,0.000127467
94,10728.9,0.42381,0.23974,0.93812,0.85193,0.78792,0.82063,0.56097,1.21203,0.94857,1.73003,0.00011332,0.00011332,0.00011332
95,10812.7,0.41641,0.23382,0.93438,0.85648,0.79344,0.82224,0.56058,1.20583,0.90827,1.73728,9.91726e-05,9.91726e-05,9.91726e-05
96,10896.6,0.40769,0.23239,0.9315,0.85634,0.78246,0.81908,0.55867,1.19583,0.91379,1.73052,8.50255e-05,8.50255e-05,8.50255e-05
97,10980.4,0.39732,0.2273,0.92237,0.85479,0.81083,0.83017,0.56613,1.18956,0.883,1.74147,7.08784e-05,7.08784e-05,7.08784e-05
98,11064.3,0.40038,0.23047,0.92638,0.86626,0.79042,0.83149,0.5654,1.19152,0.89783,1.74013,5.67313e-05,5.67313e-05,5.67313e-05
99,11148,0.39383,0.21984,0.92219,0.88843,0.76764,0.83608,0.56139,1.19323,0.92899,1.72299,4.25842e-05,4.25842e-05,4.25842e-05
100,11231.8,0.38761,0.2224,0.9195,0.87542,0.78844,0.82667,0.55758,1.19453,0.93892,1.72349,2.84371e-05,2.84371e-05,2.84371e-05
